"btc_total_bitcoins";"btc_market_cap";"btc_hash_rate";"btc_difficulty";"btc_miners_revenue";"btc_transaction_fees";"btc_n_transactions";"btc_estimated_transaction_volume_usd";"btc_trade_volume";"Date";"btc_market_price"
-1.9066826957939689;-0.5079724096277071;-0.4516305892180374;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8513642192556331;-0.46860508838855747;-0.5992279868912186;2009-01-03 00:00:00;0.0
-1.9066826957939689;-0.5079724096277071;-0.4516305892180753;-0.457043019681211;-0.677789851929312;-0.5230976245900985;-0.8513749011575495;-0.46860508838855747;-0.5992279868912186;2009-01-05 00:00:00;0.0
-1.9066826957939689;-0.5079724096277071;-0.4516305892180753;-0.457043019681211;-0.677789851929312;-0.5230976245900985;-0.8513749011575495;-0.46860508838855747;-0.5992279868912186;2009-01-07 00:00:00;0.0
-1.906547308741874;-0.5079724096277071;-0.4516305892175446;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8512253545307207;-0.46860508838855747;-0.5992279868912186;2009-01-09 00:00:00;0.0
-1.9052224497320889;-0.5079724096277071;-0.45163058921405724;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8502426195544167;-0.46860508838855747;-0.5992279868912186;2009-01-11 00:00:00;0.0
-1.9032496669729926;-0.5079724096277071;-0.45163058921371607;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8501358005352532;-0.46860508838855747;-0.5992279868912186;2009-01-13 00:00:00;0.0
-1.9008030295315645;-0.5079724096277071;-0.4516305892132612;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8499221624969262;-0.46860508838855747;-0.5992279868912186;2009-01-15 00:00:00;0.0
-1.8986368366980473;-0.5079724096277071;-0.4516305892139814;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8502105738486676;-0.46860508838855747;-0.5992279868912186;2009-01-17 00:00:00;0.0
-1.8965093258794141;-0.5079724096277071;-0.45163058921356447;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8500930729275878;-0.46860508838855747;-0.5992279868912186;2009-01-19 00:00:00;0.0
-1.8942947805272916;-0.5079724096277071;-0.4516305892137919;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8501464824371695;-0.46860508838855747;-0.5992279868912186;2009-01-21 00:00:00;0.0
-1.8929215689989012;-0.5079724096277071;-0.45163058921553556;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8506485318272379;-0.46860508838855747;-0.5992279868912186;2009-01-23 00:00:00;0.0
-1.8891210610365248;-0.5079724096277071;-0.45163058921072147;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8492919302838617;-0.46860508838855747;-0.5992279868912186;2009-01-25 00:00:00;0.0
-1.8870032207216128;-0.5079724096277071;-0.45163058921417093;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.850253301456333;-0.46860508838855747;-0.5992279868912186;2009-01-27 00:00:00;0.0
-1.8848273573843743;-0.5079724096277071;-0.45163058921345073;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8500717091237551;-0.46860508838855747;-0.5992279868912186;2009-01-29 00:00:00;0.0
-1.8824097314541095;-0.5079724096277071;-0.4516305892131854;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8499969358103406;-0.46860508838855747;-0.5992279868912186;2009-01-31 00:00:00;0.0
-1.880059799049892;-0.5079724096277071;-0.4516305892132612;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8500182996141734;-0.46860508838855747;-0.5992279868912186;2009-02-02 00:00:00;0.0
-1.8775551385861375;-0.5079724096277071;-0.4516305892134128;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8500289815160897;-0.46860508838855747;-0.5992279868912186;2009-02-04 00:00:00;0.0
-1.8751375126558727;-0.5079724096277071;-0.4516305892131854;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8499969358103406;-0.46860508838855747;-0.5992279868912186;2009-02-06 00:00:00;0.0
-1.8726231816883971;-0.5079724096277071;-0.45163058921299587;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8499328443988426;-0.46860508838855747;-0.5992279868912186;2009-02-08 00:00:00;0.0
-1.870157203239527;-0.5079724096277071;-0.4516305892132612;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8500182996141734;-0.46860508838855747;-0.5992279868912186;2009-02-10 00:00:00;0.0
-1.8677492478129831;-0.5079724096277071;-0.4516305892136024;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8501037548295042;-0.46860508838855747;-0.5992279868912186;2009-02-12 00:00:00;0.0
-1.8651865643269023;-0.5079724096277071;-0.4516305892127305;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8498687529873445;-0.46860508838855747;-0.5992279868912186;2009-02-14 00:00:00;0.0
-1.8628172909152427;-0.5079724096277071;-0.4516305892134128;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8500610272218387;-0.46860508838855747;-0.5992279868912186;2009-02-16 00:00:00;0.0
-1.8604770290147463;-0.5079724096277071;-0.45163058921337496;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8500503453199224;-0.46860508838855747;-0.5992279868912186;2009-02-18 00:00:00;0.0
-1.8581077556030867;-0.5079724096277071;-0.4516305892132233;-0.45704301967536315;-0.677789851929312;-0.5230976245900985;-0.8499969358103406;-0.46860508838855747;-0.5992279868912186;2009-02-20 00:00:00;0.0
